"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"R1";"270R";"SMD-RES-270R-1%-1/10W(0603)";"R0603";"301010197";"";"RC0603FR-07270RL";"";"";"";"";"";"270R";
"R2";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R3";"270R";"SMD-RES-270R-1%-1/10W(0603)";"R0603";"301010197";"";"RC0603FR-07270RL";"";"";"";"";"";"270R";
"R4";"270R";"SMD-RES-270R-1%-1/10W(0603)";"R0603";"301010197";"";"RC0603FR-07270RL";"";"";"";"";"";"270R";
"R5";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R6";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R7";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R8";"270R";"SMD-RES-270R-1%-1/10W(0603)";"R0603";"301010197";"";"RC0603FR-07270RL";"";"";"";"";"";"270R";
"R9";"4.7K";"SMD-RES-4.7K-5%-1/10W(0603)";"R0603";"301010290";"";"RC0603JR-074K7L";"";"";"";"";"";"4.7K";
"R10";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"10K";
"R11";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"10K";
"R12";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R13";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"10K";
"R14";"4.7K";"SMD-RES-4.7K-5%-1/10W(0603)";"R0603";"301010290";"";"RC0603JR-074K7L";"";"";"";"";"";"4.7K";
"R15";"4.7K";"SMD-RES-4.7K-5%-1/10W(0603)";"R0603";"301010290";"";"RC0603JR-074K7L";"";"";"";"";"";"4.7K";
"R16";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R17";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R18";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R19";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"301010299";"";"RC0603FR-0710KL";"";"";"";"";"";"";
"R20";"2.2K";"SMD-RES-2.2K-5%-1/10W(0603)";"R0603";"301010124";"";"RC0603JR-072K2L";"";"";"";"";"";"2.2K";
"R21";"2.2K";"SMD-RES-2.2K-5%-1/10W(0603)";"R0603";"301010124";"";"RC0603JR-072K2L";"";"";"";"";"";"2.2K";
"R22";"2.2K";"SMD-RES-2.2K-5%-1/10W(0603)";"R0603";"301010124";"";"RC0603JR-072K2L";"";"";"";"";"";"2.2K";
"R23";"2.2K";"SMD-RES-2.2K-5%-1/10W(0603)";"R0603";"301010124";"";"RC0603JR-072K2L";"";"";"";"";"";"2.2K";
"R24";"270R";"SMD-RES-270R-1%-1/10W(0603)";"R0603";"301010197";"";"RC0603FR-07270RL";"";"";"";"";"";"270R";
"SW1";"SINGLE STEP";"SMD-BUTTON(4P-4.0X4.0X1.7MM)-DHT-1152";"SW4-SMD-4.0X4.0X1.7MM";"311020027";"";"";"";"";"";"";"";"";
"SW2";"RESET";"SMD-BUTTON(4P-4.0X4.0X1.7MM)-DHT-1152";"SW4-SMD-4.0X4.0X1.7MM";"311020027";"";"";"";"";"";"";"";"";
"SW3";"DIP-SLIDE-SWITCH(3P-11.6X4.0X5.4+2.0MM)-EG1218";"DIP-SLIDE-SWITCH(3P-11.6X4.0X5.4+2.0MM)-EG1218";"SW3-2.5-11.6X4.0X5.4+2.0MM";"311010006";"";"";"";"";"";"";"";"";
"U1";"Z8X180PLCC68-S";"Z8X180PLCC68-S";"PLCC-S68";"Zilog Z80S180/Z80L180";"";"";"";"";"";"";"";"";
"U2";"AM9511A-1";"AM9511";"DIL24-6";"";"";"";"";"";"";"";"";"";
"U3";"SN74ABTH245DW";"SN74ABTH245DW";"SOIC127P1030X265-20N";"OCTAL BUS TRANSCEIVERS";"";"SN74ABTH245DW";"1739615";"50R5691";"SOIC-20";"Texas Instruments";"";"";
"U4";"SN74ABT541BDW";"SN74ABT541BDW";"SOIC127P1030X265-20N";"OCTAL BUFFERS/DRIVERS";"";"SN74ABT541BDW";"9590170";"85F222";"SOIC-20";"Texas Instruments";"";"";
"U5";"CJ1117-3.3-1310120P1";"CJ1117-3.3-1310120P1";"SOT89";"1A Low Dropout Linear Regulator";"";"";"";"";"";"";"";"";
"U7";"SN74LVC1G97DCKR";"SN74LVC1G97DCKR";"SOT65P210X110-6N";"CONFIGURABLE MULTIPLE-FUNCTION GATE";"";"SN74LVC1G97DCKR";"1470839";"32H6376";"SOT-23-6";"Texas Instruments";"";"";
"U21";"MAX6817EUT+T";"MAX6817EUT+T";"SOT95P280X145-6N";"±15kV ESD-Protected CMOS Switch Debouncers";"";"MAX6817EUT+T";"1299771";"68K9458";"SOT23-6";"Maxim";"";"";
"U22";"TLC7705ID";"TLC7705ID";"SOIC127P600X175-8N";"MICROPOWER SUPPLY VOLTAGE SUPERVISOR";"";"TLC7705ID";"8454663";"35K1226";"SOIC-8";"Texas Instruments";"";"";
"X1";"ASCI0 - USB";"USBA-SMD-MALE";"USB-A-SMT-MALE";"USB Connectors";"";"";"";"";"";"";"";"";
"X2";"USB Programmer";"USBA-SMD-MALE";"USB-A-SMT-MALE";"USB Connectors";"";"";"";"";"";"";"";"";
"X3";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL0.6-1.2";"";"";"";"";"";"";"";"";"";
"X4";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL0.6-1.2";"";"";"";"";"";"";"";"";"";
"X5";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL0.6-1.2";"";"";"";"";"";"";"";"";"";
"X6";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL_0.6-1.2MM";"FIDUCIAL0.6-1.2";"";"";"";"";"";"";"";"";"";
"Y1";"18.432MHZ";"DIP-CRYSTAL-25MHZ-20PF-20PPM(HC49US)";"HC49US";"306010005";"";"49S";"";"";"";"";"";"25MHZ";
